split,outcome,day,daily_mean,patient_count
held_out,0.0,0,253.73333333333332,15
held_out,0.0,1,261.3529411764706,17
held_out,0.0,2,196.0,1
held_out,0.0,4,205.5,2
held_out,0.0,5,177.5,2
held_out,0.0,6,252.16666666666666,6
held_out,0.0,7,251.0,5
held_out,0.0,8,198.0,2
held_out,0.0,9,174.33333333333334,3
held_out,0.0,10,217.5,4
held_out,0.0,11,167.0,3
held_out,0.0,12,149.0,1
held_out,0.0,13,203.0,3
held_out,0.0,14,156.0,2
held_out,0.0,15,183.5,2
held_out,0.0,16,198.0,1
held_out,0.0,17,187.0,2
held_out,0.0,18,181.0,1
held_out,1.0,0,501.75,8
held_out,1.0,1,678.7272727272727,11
held_out,1.0,2,626.4,5
held_out,1.0,3,767.6666666666666,6
held_out,1.0,4,876.05,10
held_out,1.0,5,810.8,5
held_out,1.0,6,926.0,3
held_out,1.0,7,886.5,4
held_out,1.0,8,348.0,1
held_out,1.0,9,885.5,2
held_out,1.0,10,414.0,1
held_out,1.0,11,355.0,1
held_out,1.0,12,331.0,1
train,0.0,0,275.5409836065574,61
train,0.0,1,269.08196721311475,61
train,0.0,2,315.57142857142856,7
train,0.0,3,291.1333333333333,15
train,0.0,4,283.8235294117647,17
train,0.0,5,247.58823529411765,17
train,0.0,6,285.46666666666664,15
train,0.0,7,229.8095238095238,21
train,0.0,8,236.35714285714286,14
train,0.0,9,211.71428571428572,14
train,0.0,10,227.6315789473684,19
train,0.0,11,198.71428571428572,7
train,0.0,12,231.66666666666666,9
train,0.0,13,209.14285714285714,14
train,0.0,14,202.0,7
train,0.0,15,209.75,4
train,0.0,16,222.85714285714286,7
train,0.0,17,180.625,8
train,0.0,18,175.66666666666666,3
train,0.0,19,186.5,2
train,0.0,22,193.0,1
train,1.0,0,649.2982456140351,57
train,1.0,1,587.6949152542373,59
train,1.0,2,649.85,20
train,1.0,3,637.2758620689655,29
train,1.0,4,744.9130434782609,23
train,1.0,5,708.6428571428571,35
train,1.0,6,709.7,25
train,1.0,7,542.5333333333333,15
train,1.0,8,808.8,10
train,1.0,9,610.125,16
train,1.0,10,564.75,8
train,1.0,11,612.3125,8
train,1.0,12,883.375,8
train,1.0,13,661.1666666666666,6
train,1.0,14,722.5,4
train,1.0,15,584.0,1
train,1.0,16,632.0,3
train,1.0,17,570.0,2
train,1.0,18,417.0,1
tuning,0.0,0,279.8125,16
tuning,0.0,1,279.0,15
tuning,0.0,2,179.0,2
tuning,0.0,3,207.0,1
tuning,0.0,4,282.0,3
tuning,0.0,5,228.6,5
tuning,0.0,6,281.375,8
tuning,0.0,7,204.0,1
tuning,0.0,8,236.5,2
tuning,0.0,9,203.5,2
tuning,0.0,10,210.57142857142858,7
tuning,0.0,11,223.6,5
tuning,0.0,12,179.0,2
tuning,0.0,13,220.66666666666666,3
tuning,0.0,14,187.0,1
tuning,0.0,15,174.5,4
tuning,1.0,0,854.8571428571429,14
tuning,1.0,1,822.6666666666666,9
tuning,1.0,2,1235.5714285714287,7
tuning,1.0,3,1004.75,6
tuning,1.0,4,707.4,5
tuning,1.0,5,924.0,3
tuning,1.0,6,1367.5,2
tuning,1.0,7,981.3333333333334,3
tuning,1.0,8,1155.625,4
tuning,1.0,9,1548.3333333333333,3
tuning,1.0,11,956.0,1
tuning,1.0,12,772.0,1
