split,day,daily_mean,subject_count
held_out,0,42.917336,10
held_out,1,38.56,5
held_out,2,37.31,5
held_out,3,36.579998,5
held_out,4,39.53,5
held_out,5,38.398335,3
held_out,6,32.599,5
held_out,7,30.009998,5
held_out,8,29.240002,5
held_out,9,29.810001,5
held_out,10,25.933334,3
held_out,11,25.75,2
held_out,12,27.3,1
held_out,13,35.3,1
held_out,16,34.4,1
held_out,18,34.65,2
held_out,19,31.4,1
held_out,20,30.4,1
held_out,21,28.2,1
held_out,25,28.966667,1
held_out,26,25.6,1
held_out,27,24.7,1
held_out,28,10.1,1
held_out,29,23.400002,1
held_out,30,23.9,1
held_out,31,21.9,1
held_out,32,23.0,1
held_out,38,50.3,1
held_out,54,35.2,1
held_out,381,34.8,1
held_out,428,33.4,1
held_out,429,29.7,1
held_out,494,34.3,1
held_out,600,33.75,1
held_out,601,33.85,1
held_out,602,31.2,1
held_out,603,30.0,1
held_out,604,31.5,1
held_out,606,28.6,1
held_out,607,30.3,1
held_out,608,32.3,1
held_out,827,42.8,1
held_out,944,36.8,1
train,0,37.407196,76
train,1,32.776215,48
train,2,31.872536,44
train,3,31.258331,39
train,4,30.463888,36
train,5,31.358603,31
train,6,31.91207,29
train,7,30.768,25
train,8,31.323809,21
train,9,31.090195,17
train,10,30.213335,15
train,11,30.135,10
train,12,29.918182,11
train,13,29.539999,10
train,14,28.835417,8
train,15,29.969791,8
train,16,28.71875,8
train,17,29.00625,8
train,18,28.958334,6
train,19,30.349998,6
train,20,30.264286,7
train,21,26.05,4
train,22,27.075,4
train,23,27.6125,4
train,24,26.833334,4
train,25,29.4,4
train,26,31.27,5
train,27,32.260002,5
train,28,33.304165,6
train,29,32.55,4
train,30,32.86,5
train,31,33.55,5
train,32,34.3,6
train,33,32.125,4
train,34,34.17143,7
train,35,33.333332,6
train,36,31.650002,4
train,37,33.34,5
train,38,30.125,4
train,39,30.8,4
train,40,29.689999,5
train,41,31.320002,5
train,42,30.915625,4
train,43,25.525,3
train,44,30.15,3
train,45,28.575,4
train,46,26.208332,2
train,47,23.575,2
train,48,23.833334,1
train,49,25.599998,2
train,50,26.3,1
train,51,24.35,2
train,52,30.75,2
train,53,28.0,3
train,54,30.033333,4
train,55,26.166666,3
train,56,27.1,3
train,57,27.066666,3
train,58,28.433334,3
train,59,28.966667,3
train,60,28.5,3
train,61,35.733334,3
train,62,28.066666,3
train,63,27.5,1
train,64,27.6,1
train,66,35.5,2
train,69,34.7,1
train,70,38.0,1
train,71,36.5,2
train,72,33.3,1
train,73,35.4,1
train,76,38.8,1
train,77,39.75,2
train,78,32.5,2
train,79,31.8,2
train,80,29.175,2
train,81,30.55,2
train,82,31.1,2
train,83,31.550001,3
train,84,33.0,2
train,85,31.9,2
train,86,31.633333,3
train,87,30.3,1
train,88,27.0,1
train,89,28.9,1
train,90,32.2,4
train,91,26.9,2
train,92,28.125,2
train,93,29.45,2
train,94,27.95,2
train,95,30.933334,3
train,96,29.025,2
train,97,28.0,2
train,98,33.75,2
train,99,30.65,2
train,100,28.75,2
train,101,36.15,2
train,102,27.3,1
train,104,35.5,2
train,106,31.9,3
train,107,28.0,1
train,108,27.3,1
train,109,36.6,1
train,110,27.5,1
train,111,34.675,2
train,112,30.7,2
train,113,35.8,2
train,114,32.95,2
train,115,34.866665,3
train,117,32.016666,3
train,118,32.666668,3
train,119,32.7,1
train,121,41.1,1
train,122,35.65,2
train,123,32.1,1
train,124,32.4,1
train,125,34.35,2
train,126,32.8,2
train,127,27.9,1
train,128,28.5,1
train,129,32.2,2
train,130,25.65,2
train,131,25.974998,2
train,132,31.333332,2
train,133,22.939999,1
train,134,21.66,1
train,135,27.875,2
train,136,35.1,2
train,139,36.65,2
train,140,33.7,1
train,143,37.5,1
train,148,39.6,1
train,149,37.300003,2
train,150,36.4,2
train,151,33.5,1
train,152,30.45,2
train,153,31.55,2
train,154,32.5,1
train,155,32.075,2
train,156,30.55,2
train,157,33.133335,3
train,158,29.633333,3
train,159,28.85,2
train,160,30.45,2
train,161,33.8,1
train,162,35.7,1
train,164,39.399998,3
train,165,38.0,1
train,166,33.9,1
train,168,53.3,1
train,169,29.699999,1
train,170,29.7,1
train,171,33.95,2
train,174,38.4,2
train,178,38.6,1
train,179,38.8,1
train,181,32.4,1
train,185,40.4,1
train,188,44.7,1
train,191,33.6,1
train,192,27.5,1
train,193,34.45,2
train,199,40.0,1
train,200,29.05,1
train,201,27.2,1
train,202,28.9,1
train,203,30.7,1
train,204,29.7,1
train,208,36.800003,1
train,209,34.1,1
train,210,32.0,1
train,211,28.7,1
train,212,26.9,1
train,213,40.7,1
train,223,39.63333,3
train,225,42.225,2
train,226,36.5,2
train,227,30.25,2
train,228,33.45,2
train,229,25.349998,2
train,230,31.383331,3
train,231,27.15,2
train,232,38.6,2
train,233,26.05,1
train,234,27.75,1
train,235,26.9,1
train,236,25.5,1
train,237,24.2,1
train,242,24.066666,1
train,243,24.4,1
train,244,39.166668,3
train,245,24.6,1
train,246,25.8,1
train,247,29.1,1
train,258,40.0,1
train,261,33.4,1
train,262,31.8,1
train,263,35.7,2
train,264,34.7,1
train,265,42.1,1
train,266,32.7,1
train,267,34.7,1
train,268,31.5,1
train,280,40.3,1
train,283,31.2,1
train,285,27.5,1
train,286,43.4,1
train,290,49.0,1
train,291,44.4,1
train,292,43.13333,2
train,293,41.3,2
train,294,33.9,1
train,295,43.5,1
train,300,39.3,1
train,301,44.6,1
train,312,32.2,1
train,315,33.4,1
train,317,46.7,1
train,318,33.8,1
train,321,27.1,1
train,322,28.7,1
train,326,44.4,1
train,327,42.5,2
train,328,42.050003,1
train,329,40.5,1
train,333,30.5,1
train,336,33.35,1
train,342,36.75,2
train,343,39.699997,1
train,344,40.6,1
train,345,40.2,1
train,348,47.9,1
train,350,40.1,1
train,353,35.9,1
train,355,31.4,1
train,356,42.9,1
train,361,38.3,1
train,362,36.85,1
train,365,37.149998,3
train,366,38.3,1
train,367,38.6,1
train,369,43.4,1
train,370,42.0,1
train,383,34.3,1
train,384,47.1,1
train,393,44.25,2
train,395,39.9,1
train,396,43.5,1
train,397,37.6,1
train,398,40.75,2
train,399,37.0,1
train,400,45.8,1
train,401,46.0,1
train,402,42.166668,1
train,403,41.4,1
train,404,36.9,2
train,405,43.4,1
train,406,39.7,2
train,407,41.9,1
train,408,42.2,1
train,409,43.7,1
train,412,44.6,1
train,420,43.5,1
train,421,30.25,1
train,425,31.6,1
train,429,38.0,1
train,431,35.8,1
train,440,46.2,1
train,449,14.049999,1
train,450,30.8625,2
train,451,27.066666,1
train,452,26.766668,1
train,453,28.066666,1
train,454,30.050001,2
train,455,26.706667,3
train,456,24.3,2
train,457,23.25,2
train,458,23.75,2
train,459,27.3,1
train,460,30.1,1
train,461,37.875,2
train,462,27.150002,1
train,463,26.25,1
train,464,23.0,1
train,465,27.233332,1
train,466,27.9,1
train,467,25.2,1
train,468,22.5,1
train,469,25.9,1
train,470,24.3,1
train,471,22.7,1
train,472,22.0,1
train,473,27.099998,1
train,474,26.2,1
train,475,37.2,2
train,476,25.2,1
train,477,23.5,1
train,478,24.650002,2
train,479,29.7,2
train,480,25.575,2
train,481,25.8,1
train,482,26.75,2
train,483,31.0,2
train,485,25.75,1
train,486,26.2,1
train,491,48.6,1
train,496,23.35,1
train,497,24.5,1
train,498,27.0,1
train,499,26.6,1
train,500,25.4,1
train,504,45.8,1
train,506,29.7,1
train,510,26.2,1
train,521,53.4,1
train,522,49.3,1
train,523,48.2,1
train,524,44.6,1
train,525,45.0,1
train,526,46.5,1
train,527,47.8,1
train,528,34.9,2
train,529,42.3,1
train,530,42.1,1
train,531,44.6,1
train,535,46.9,1
train,549,46.2,1
train,556,21.2,1
train,561,26.4,1
train,562,27.7,1
train,563,27.3,1
train,573,47.3,1
train,591,29.1,1
train,596,33.466663,1
train,597,27.5,1
train,598,25.4,1
train,599,24.7,1
train,600,27.6,1
train,602,35.4,1
