paper_id,paper_title
1,Generative Adversarial Regularized Mutual Information Policy Gradient Framework for Automatic Diagno
2,AdaCare Explainable Clinical Health Status Representation Learning via Scale Adaptive Feature Extra
3,ConCare Personalized Clinical Feature Embedding via Capturing the Healthcare Context
4,DeepAlerts Deep Learning Based Multi Horizon Alerts for Clinical Deterioration on Oncology Hospital
5,Learning the Graphical Structure of Electronic Health Records with Graph Convolutional Transformer
6,Doctor2Vec Dynamic Doctor Representation Learning for Clinical Trial Recruitment
7,Federated Patient Hashing
8,Deep Mixed Effect Model Using Gaussian Processes A Personalized and Reliable Prediction for Healthc
9,Learning Conceptual Contextual Embeddings for Medical Text
10,Understanding Medical Conversations with Scattered Keyword Attention and Weak Supervision from Respo
11,ICD Coding from Clinical Text Using Multi Filter Residual Convolutional Neural Network
12,A System for Medical Information Extraction and Verification from Unstructured Text
13,GRASP Generic Framework for Health Status Representation Learning Based on Incorporating Knowledge
14,Clinical Risk Prediction with Temporal Probabilistic Asymmetric Multi Task Learning
15,Longitudinal Deep Kernel Gaussian Process Regression
16,ESCAPED Efficient Secure and Private Dot Product Framework for Kernel based Machine Learning Algori
17,MUFASA Multimodal Fusion Architecture Search for Electronic Health Records
18,MTAAL Multi Task Adversarial Active Learning for Medical Named Entity Recognition and Normalization
19,Clinical Temporal Relation Extraction with Probabilistic Soft Logic Regularization and Global Infere
20,Diaformer Automatic Diagnosis via Symptoms Sequence Generation
21,Context Aware Health Event Prediction via Transition Functions on Dynamic Disease Graphs
22,Clustering Interval Censored Time Series for Disease Phenotyping
23,Heterogeneous Graph Learning for Multi Modal Medical Data Analysis
24,KerPrint Local Global Knowledge Graph Enhanced Diagnosis Prediction for Retrospective and Prospecti
25,Multi Label Few Shot ICD Coding as Autoregressive Generation with Prompt
26,Estimating Treatment Effects from Irregular Time Series Observations with Hidden Confounders
27,Estimating Average Causal Effects from Patient Trajectories
28,Causal Recurrent Variational Autoencoder for Medical Time Series Generation
29,MHCCL Masked Hierarchical Cluster Wise Contrastive Learning for Multivariate Time Series
30,Forecasting with Sparse but Informative Variables A Case Study in Predicting Blood Glucose
31,PromptMRG Diagnosis Driven Prompts for Medical Report Generation
32,Automatic Radiology Reports Generation via Memory Alignment Network
33,KG TREAT Pre training for Treatment Effect Estimation by Synergizing Patient Data with Knowledge Gr
34,Inducing Clusters Deep Kernel Gaussian Process for Longitudinal Data
35,ConSequence Synthesizing Logically Constrained Sequences for Electronic Health Record Generation
36,IGAMT Privacy Preserving Electronic Health Record Synthesization with Heterogeneity and Irregularit
37,IVP VAE Modeling EHR Time Series with Initial Value Problem Solvers
38,DrFuse Learning Disentangled Representation for Clinical Multi Modal Fusion with Missing Modality a
39,Large Language Models Are Clinical Reasoners Reasoning Aware Diagnosis Framework with Prompt Genera
40,Collaborative Synthesis of Patient Records through Multi Visit Health State Inference
41,Zhongjing Enhancing the Chinese Medical Capabilities of Large Language Model through Expert Feedbac
42,DAMPER A Dual Stage Medical Report Generation Framework with Coarse Grained MeSH Alignment and Fine
