day,outcome,daily_mean,patient_count
0,0.0,36.97826086956522,92
1,0.0,37.45268817204301,93
2,0.0,34.88,10
3,0.0,36.2125,16
4,0.0,35.31818181818182,22
5,0.0,34.641666666666666,24
6,0.0,34.248275862068965,29
7,0.0,35.91481481481482,27
8,0.0,35.47777777777778,18
9,0.0,37.1578947368421,19
10,0.0,35.17666666666666,30
11,0.0,37.13333333333333,15
12,0.0,34.583333333333336,12
13,0.0,36.95,20
14,0.0,36.89,10
15,0.0,34.2,10
16,0.0,34.425,8
17,0.0,36.97,10
18,0.0,37.65,4
19,0.0,35.35,2
22,0.0,36.6,1
0,1.0,30.234177215189874,79
1,1.0,30.041772151898737,79
2,1.0,27.98030303030303,33
3,1.0,26.975609756097562,41
4,1.0,27.57894736842105,38
5,1.0,27.49404761904762,42
6,1.0,25.490322580645163,31
7,1.0,26.058695652173913,23
8,1.0,25.30666666666667,15
9,1.0,24.507142857142856,21
10,1.0,24.205555555555556,9
11,1.0,24.634999999999998,10
12,1.0,25.119999999999997,10
13,1.0,25.95,6
14,1.0,21.6,4
15,1.0,30.3,1
16,1.0,27.8,3
17,1.0,22.700000000000003,2
18,1.0,24.6,1
