split,day,daily_mean,subject_count
held_out,0,9.12,10
held_out,1,6.96,5
held_out,2,7.2400002,5
held_out,3,7.28,5
held_out,4,8.11,5
held_out,5,13.733334,3
held_out,6,12.013333,5
held_out,7,9.3,5
held_out,8,7.46,5
held_out,9,7.94,5
held_out,10,6.8999996,2
held_out,11,11.95,2
held_out,12,9.0,1
held_out,13,11.3,1
held_out,16,11.5,1
held_out,18,11.4,2
held_out,19,8.5,1
held_out,20,7.2,1
held_out,21,6.8,1
held_out,25,22.766668,1
held_out,26,17.45,1
held_out,27,13.3,1
held_out,28,11.2,1
held_out,29,8.05,1
held_out,30,7.5,1
held_out,31,8.4,1
held_out,32,8.5,1
held_out,38,5.9,1
held_out,54,9.7,1
held_out,381,10.2,1
held_out,428,9.1,1
held_out,429,6.0,1
held_out,494,12.1,1
held_out,600,5.45,1
held_out,601,6.7,1
held_out,602,7.1,1
held_out,603,6.1,1
held_out,604,6.1,1
held_out,606,6.2,1
held_out,607,5.2,1
held_out,608,4.6,1
held_out,827,7.2,1
held_out,944,10.1,1
train,0,10.127162,74
train,1,10.01007,48
train,2,9.70947,44
train,3,9.782478,39
train,4,9.079166,36
train,5,8.67,30
train,6,10.194827,29
train,7,10.961364,22
train,8,10.41,20
train,9,10.7696085,17
train,10,10.14,15
train,11,10.79,10
train,12,10.35,10
train,13,10.488889,9
train,14,11.908333,8
train,15,10.622916,8
train,16,10.2625,8
train,17,9.6375,8
train,18,9.25,6
train,19,9.599999,6
train,20,16.55,7
train,21,14.012501,4
train,22,11.575,4
train,23,13.400001,4
train,24,18.475,4
train,25,21.325,4
train,26,15.1,5
train,27,15.613333,5
train,28,14.179166,6
train,29,13.85,4
train,30,11.153334,5
train,31,13.280001,5
train,32,12.683333,6
train,33,11.375,4
train,34,20.078571,7
train,35,10.25,6
train,36,10.75,4
train,37,9.9,5
train,38,10.970834,4
train,39,34.725002,4
train,40,9.973333,5
train,41,6.915,5
train,42,9.20625,4
train,43,5.4083333,3
train,44,7.5499997,3
train,45,7.241667,4
train,46,14.4,2
train,47,10.924999,2
train,48,17.6,1
train,49,8.849999,2
train,50,17.7,1
train,51,11.4,2
train,52,16.75,2
train,53,11.416667,3
train,54,9.541667,4
train,55,6.633333,3
train,56,8.466666,3
train,57,8.166667,3
train,58,8.466666,3
train,59,9.55,3
train,60,9.466667,3
train,61,9.333333,3
train,62,33.899998,3
train,63,13.4,1
train,64,10.6,1
train,66,13.05,2
train,69,11.6,1
train,70,6.0,1
train,71,7.85,2
train,72,7.8,1
train,73,3.5,1
train,76,9.2,1
train,77,8.4,2
train,78,19.275002,2
train,79,16.933332,2
train,80,10.325,2
train,81,10.6,2
train,82,8.6,2
train,83,29.066668,3
train,84,29.65,2
train,85,26.4,2
train,86,19.9,3
train,87,2.4,1
train,88,2.4,1
train,89,2.4,1
train,90,18.525,4
train,91,3.7,2
train,92,3.775,2
train,93,5.5,2
train,94,7.15,2
train,95,5.766667,3
train,96,5.6000004,2
train,97,5.25,2
train,98,4.85,2
train,99,3.0500002,2
train,100,7.25,2
train,101,9.049999,2
train,102,7.2,1
train,104,10.450001,2
train,106,8.733334,3
train,107,11.3,1
train,108,7.9,1
train,109,2.6,1
train,110,6.1,1
train,111,8.625,2
train,112,7.7999997,2
train,113,7.05,2
train,114,32.65,2
train,115,9.583333,3
train,117,11.033333,3
train,118,9.766666,3
train,119,9.3,1
train,121,6.9,1
train,122,5.0,2
train,123,4.8,1
train,124,10.1,1
train,125,7.8999996,2
train,126,10.9,2
train,127,11.5,1
train,128,8.2,1
train,129,5.75,2
train,130,9.025,2
train,131,11.424999,2
train,132,10.458334,2
train,133,11.8,1
train,134,9.48,1
train,135,8.925,2
train,136,4.65,2
train,139,5.1,2
train,140,8.0,1
train,143,4.0,1
train,148,19.7,1
train,149,10.35,2
train,150,8.55,2
train,151,9.8,1
train,152,8.55,2
train,153,7.55,2
train,154,12.3,1
train,155,12.95,2
train,156,10.4,2
train,157,7.733333,3
train,158,8.566667,3
train,159,11.1,2
train,160,9.950001,2
train,161,11.6,1
train,162,10.4,1
train,164,11.033333,3
train,165,8.5,1
train,166,20.2,1
train,168,4.7,1
train,169,9.9,1
train,170,7.8,1
train,171,5.6499996,2
train,174,4.8,2
train,178,4.1,1
train,179,8.6,1
train,181,27.1,1
train,185,4.7,1
train,188,5.7,1
train,191,13.45,1
train,192,10.0,1
train,193,6.9500003,2
train,199,4.4,1
train,200,9.95,1
train,201,9.2,1
train,202,8.6,1
train,203,8.6,1
train,204,8.6,1
train,208,15.95,1
train,209,14.9,1
train,210,10.3,1
train,211,11.75,1
train,212,10.6,1
train,213,4.2,1
train,223,12.566666,3
train,225,6.7,2
train,226,8.95,2
train,227,10.700001,2
train,228,10.65,2
train,229,8.85,2
