Title,PDF_Link,Track
A Spherical Convolution Approach for Learning Long Term Viewport Prediction in 360 Immersive Video,https://cdn.aaai.org/ojs/7377/7377-13-10630-1-2-20200623.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
A Recurrent Model for Collective Entity Linking with Adaptive Features,https://cdn.aaai.org/ojs/5367/5367-13-8592-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
Table2Analysis: Modeling and Recommendation of Common Analysis Patterns for Multi-Dimensional Data,https://cdn.aaai.org/ojs/5366/5366-13-8591-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
Multi-Channel Reverse Dictionary Model,https://cdn.aaai.org/ojs/5365/5365-13-8590-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
An End-to-End Visual-Audio Attention Network for Emotion Recognition in User-Generated Videos,https://cdn.aaai.org/ojs/5364/5364-13-8589-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
D2D-LSTM: LSTM-Based Path Prediction of Content Diffusion Tree in Device-to-Device Social Networks,https://cdn.aaai.org/ojs/5363/5363-13-8588-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
Learning to Match on Graph for Fashion Compatibility Modeling,https://cdn.aaai.org/ojs/5362/5362-13-8587-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
Cross-Modal Attention Network for Temporal Inconsistent Audio-Visual Event Localization,https://cdn.aaai.org/ojs/5361/5361-13-8586-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
Incremental Fairness in Two-Sided Market Platforms: On Smoothly Updating Recommendations,https://cdn.aaai.org/ojs/5349/5349-13-8574-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
A Variational Point Process Model for Social Event Sequences,https://cdn.aaai.org/ojs/5348/5348-13-8573-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
Towards Comprehensive Recommender Systems: Time-Aware Unified Recommendations Based on Listwise Ranking of Implicit Cross-Network Data,https://cdn.aaai.org/ojs/5350/5350-13-8575-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
Minimizing the Bag-of-Ngrams Difference for Non-Autoregressive Neural Machine Translation,https://cdn.aaai.org/ojs/5351/5351-13-8576-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
PEIA: Personality and Emotion Integrated Attentive Model for Music Recommendation on Social Media Platforms,https://cdn.aaai.org/ojs/5352/5352-13-8577-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
Where to Go Next: Modeling Long- and Short-Term User Preferences for Point-of-Interest Recommendation,https://cdn.aaai.org/ojs/5353/5353-13-8578-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
Knowledge Graph Alignment Network with Gated Multi-Hop Neighborhood Aggregation,https://cdn.aaai.org/ojs/5354/5354-13-8579-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
Learning with Unsure Responses,https://cdn.aaai.org/ojs/5355/5355-13-8580-1-10-20200508.pdf,Vol. 34 No. 01: AAAI-20 Technical Tracks 1
